"","Gene_Name","A","B","D","E","F","G","I (first)","K","L","O","V"
"546","YDL056W",-0.831519687128736,-0.0816093528959384,0.504087039534057,-0.497618005463038,-0.524986995763505,-0.448353822922197,-1.09973579207331,-0.108978343196405,-0.579724976364439,1.97106491963909,1.69737501663442
"547","YDL057W",-0.874898793873785,-0.343192344558225,2.45712828850372,0.170790556446816,0.365749587862522,0.684773457451858,-1.01668718035793,-0.00644492665837036,-0.981240083736897,-0.644492665837043,0.188514104757335
"548","YDL058W",-0.674063149443868,-0.337541456075522,0.700067098476876,-0.556280556764947,0.307458456213807,0.0270237117401853,-1.17323699460691,-0.158063219612405,-0.786237047233316,0.0999367453033268,2.55093641200278
"549","YDL059C",-0.826426170992662,-0.812739498482998,2.73758335052402,-0.229687249571282,-0.0161751584205129,0.0659448766374752,-0.722407459919211,0.0987928906606705,-0.528056710281972,-0.248848591084813,0.482019720931282
"550","YDL060W",-0.42761596448725,-0.141633236876448,2.72246243815113,-0.291027199061195,-0.244074810945989,-0.0370574633471256,-0.724269689396962,-0.29529559798076,-0.830979662386067,-0.536460136936137,0.805951323266804
"551","YDL061C",-0.517048318402832,-0.395024915259764,2.14264823146134,-0.364002016155594,-0.0806595376708418,0.159250882068072,-0.885186721105648,-0.268865125569473,-0.926550586577875,-0.541866637686168,1.67730474489879
"552","YDL063C",-0.593357272916775,-0.087354085597771,1.73476850308127,-0.399133827279178,-0.414467257197935,-0.0643539407196345,-0.802914148473131,0.0327577820991643,-0.910248157904434,-0.606135131182407,2.11043753609083
"553","YDL064W",-1.37106228765325,-1.16339708745792,0.458987289068085,0.705589714300039,-0.17698738653011,-0.592317786920768,-1.21531338750676,0.536861739141334,0.0436568886774273,1.56220866510577,1.21177363977615
"554","YDL065C",-0.495670394444733,-0.464632210352368,-0.0960537742555376,-0.659914118600162,-0.423247964895882,-0.456872664329277,-0.944430806113505,0.18975617092832,-0.48015130239855,2.23827632102439,1.59294074343731
"555","YDL066W",-0.813411123659786,-0.62957807056442,2.05585516905268,1.17198584977016,0.877852964817579,0.495480214379219,-0.882532351623643,-0.297207910567999,-0.94135892861416,-0.650167372511101,-0.386918440478537
